Enter the number of movies you want to rate: Movie id and your rating in space separated lines: 
set([8, 2, 19, 14, 7])
(459, 3.5)
(4719, 2.75)
(20, 2.53846)
(78, 3.2)
(65665, 4.0)
(145, 3.27907)
(198, 3.44186)
(293, 4.07197)
(349, 3.78696)
(519, 2.39583)
(33437, 3.75)
(866, 3.87037)
(996, 3.25)
(1218, 4.21429)
(1249, 3.91026)
(1264, 4.28571)
(1432, 3.4)
(132618, 1.5)
(1573, 3.45181)
(1589, 3.39474)
(1783, 2.66667)
(1912, 3.75862)
(67508, 4.75)
(2058, 3.62121)
(2166, 3.6875)
(67923, 3.2)
(2540, 3.1)
(2764, 4.16667)
(2802, 3.3)
(2803, 3.3)
(2881, 3.09302)
(2959, 4.17822)
(2985, 3.59483)
(3197, 3.25)
(3256, 3.53125)
(3265, 4.1)
(3275, 3.52273)
(3452, 3.05263)
(71573, 1.5)
(3584, 3.625)
(3682, 2.71429)
(3761, 3.5)
(3800, 2.0)
(3893, 2.80952)
(3947, 5.0)
(4086, 4.25)
(4106, 3.0)
(4210, 3.3)
(4438, 4.0)
(4800, 3.75)
(4901, 3.51923)
(4956, 3.0)
(5027, 2.75)
(5388, 3.32692)
(71033, 3.71429)
(5628, 3.4)
(6016, 4.2971)
(6185, 2.0)
(6885, 1.0)
(72489, 2.8)
(7007, 3.33333)
(7040, 3.5)
(7044, 3.41667)
(7076, 2.83333)
(7135, 3.625)
(7217, 3.75)
(7235, 4.0)
(7445, 3.3913)
(8016, 2.25)
(73741, 2.0)
(8798, 3.7125)
(8860, 2.54545)
(74510, 3.83333)
(41997, 3.6875)
(142192, 3.5)
(6953, 3.31667)
(78729, 2.25)
(46335, 2.57143)
(79132, 4.04955)
(47044, 2.7)
(47254, 3.75)
(47330, 1.0)
(81132, 4.0)
(8093, 2.75)
(81788, 4.16667)
(49530, 4.04054)
(50794, 3.5)
(120637, 1.75)
(150548, 4.16667)
(118898, 4.0)
(86644, 2.5)
(3729, 4.33333)
(36529, 3.67742)
(55721, 3.875)
(90738, 1.5)
(58803, 3.80556)
(26117, 3.5)
(26172, 4.0)
(91842, 2.375)
(157407, 1.5)
[[44 22 91 56 15]
 [44 22 91 56 15]]
